"QMS MASTER LIST DOCUMENTS, POSTERS, AND FORMS",,,,,,
TITLE,CODE,Department,Version,Date,Record Retention Length,Summary of Changes (if needed)
Oven Maintenance Checklist,PG Form 3,Plugging,1.1,6/24/2025,3 years,
Texture Guide,PL1 DOC1,Production,1.0,8/18/2025,N/A,
Weekly Gateway Report,PL1 Form 1,PL1,1.0,6/24/2025,10 years,
Portable AC Maintenance,PL1 Form 2,PL1,1.0,6/24/2025,3 years,
Texture Weekly Production,PL1 Form 3,Production,1.0,8/18/2025,60 days,
Air Compressor Maintenance Checklist,PL1 Form 4,Production,1.0,6/24/2025,3 years,
Foam Core Weekly Production PL1,PL1 Form 5,PL1,1.1,6/24/2025,60 days,
Mold Maintenance Tracker PL1,PL1 Form 6,Mold Maintenance,1.0,10/16/2025,3 years,
Work Instructions Elevator Lay Up PL2 Doc 1,PL2 Doc 1,PL2 - Lay Up,1.0,4/11/2025,N/A,
Work Instructions - Vertical Stabilizer Layup PL2 Doc 2,PL2 Doc 2,PL2 - Lay Up,1.2,4/15/2025,N/A,
Work Instructions - Vertical Stabilizer Foam Core PL2 Doc 3,PL2 Doc 3,PL2 - Lay Up,1.0,4/16/2025,N/A,
Work Instructions Rudder Foam Core PL2 Doc 4 ,PL2 Doc 4,PL2 - Lay Up,1.0,4/17/2025,N/A,
DRAFT Work Instructions Rudder Layup ,PL2 Doc 5,PL2 - Lay Up,1.0,4/18/2025,N/A,
Work Instructions Aileron Layup PL2 Doc 6 ,PL2 Doc 6,PL2 - Lay Up,1.0,4/18/2025,N/A,
DRAFT Work Instructions Elevator Foam Core PL2 Doc 7,PL2 Doc 7,PL2 - Lay Up,1.0,4/16/2025,N/A,
DRAFT Work Instructions Aileron Foam Core PL2 Doc 8 ,PL2 Doc 8,PL2 - Lay Up,1.0,4/16/2025,N/A,
Work Instructions - Horizontal Stabilizer Mold Assembly PL2 Doc 9,PL2 Doc 9,PL2 - Mold Assembly,1.1,4/22/2025,N/A,
Work Instructions - Horizontal Stabilizer Layup PL2 Doc 10,PL2 Doc 10,PL2 - Lay Up,1.2,5/5/2025,N/A,
Work instructions: QC Aerospace,PL2 Doc 11,PL2 - Quality,1.0,5/19/2025,N/A,
Work Instructions: Mold Break Out,PL2 Doc 12,Production PL2,1.0,5/19/2025,N/A,
"Work Instructions - 12"" Disruptor Tube",PL2 Doc 13,PL2 - Lay Up,1.0,5/20/2025,N/A,
Spec Sheet - Bandit Fuselage Tube Version 3.0.pdf,PL2 Doc 14,PL2,3.0,6/10/2025,N/A,
Work Instructions - UH60 Sensor Nose Mount Antenna Cover Lay Up,PL2 Doc 15,PL2,1.0,7/24/2025,N/A,
"Spec Sheet - 12"" Disruptor Fuselage Tube",PL2 Doc 16,PL2 Lay Up,1.0,9/9/2025,N/A,
Disruptor Tube packet diagram.pdf,PL2 Doc 17,PL2 Cutting Table,1.0,9/15/2025,N/A,
Antenna Cover packet diagram,,,,,,
SPEC Sheet antenna cover,PL2 Doc 18,,,,,
"Traveler - Disruptor 12"" Tube RevH V2.2.pdf",PL2 Form 1,PL2,2.2,7/2/2025,10 years,added lot#s for 6030
"Traveler - Disruptor 12"" Tube RevK V1.1.pdf",PL2 Form 1.1,PL2,1.0,7/14/2025,10 years,changed oven cycle
"Traveler - Disruptor 12"" Tube RevL V1.2",PL2 Form 1.2,PL2,1.2,10/16/2025,10 years,added mandrel #
"Traveler - Disruptor 12"" Tube RevM.pdf",PL2 Form 1.3,PL2,1.0,10/21/2025,10 years,added add'l finish steps
Traveler - Bandit Fuselage Tube V3.0.pdf,PL2 Form 2,PL2,3.0,6/10/2025,10 years,
"Traveler - Tail Cone - 10""",PL2 Form 3,PL2,1.5,6/11/2025,10 years,
Production Change Sheet PL2 Form 4,PL2 Form 4,PL2,1.0,2/6/2025,10 years,
Cutting Table Work Order,PL2 Form 4,PL2,1.1,8/18/2025,10 years,
Traveler - Horizontal Stabilizer,PL2 Form 5,PL2,1.0,2/27/2025,10 years,
Traveler - UH-60 Sensor Nose Mount GS Antenna Cover,PL2 Form 6,PL2,1.1,10/16/2025,10 years,updated primer lot #
Mold Maintenance Tracker.pdf,PL2 Form 7,Mold Maintenance,1.0,8/18/2025,10 years,
CNC Work Order Request,PL3 Form 1,PL3,1.5,8/18/2025,until scanned,
Forklift Maintenance Checklist,PR Form 5,Production,1.0,7/24/2025,3 years,
Finish QC Daily Production,QC Form 1,Quality - PL1,1.1,6/24/2025,10 years,
Shipping Document 1 - QC Standards,SH DOC 1,Quality - PL1,2.0,6/24/2025,N/A,
Packing Slip,SH Form 1,Shipping - PL1,1.0,6/24/2025,10 years,
Shipping QC Weekly Production Sheet,SH Form 2,Quality - PL1,1.1,6/24/2025,10 years,
Primer: MIL-PRF-23377 Type 1 Class N,PT Form 1,Paint ,1.1,11/5/2025,5 Years,
Paint: MIL-DTL-64159,PT Form 2,Paint ,1.2,11/5/2025,5 Years,
